PROPERTY_ID,SALE_PRICE,SALE_DATE,YEAR_BUILT,EFFECTIVE_YEAR_BUILT,LATITUDE,LONGITUDE,STATE,CITY,ZIP,CENSUS_TRACT,LIVING_SQFT,LOT_SQFT,BEDROOMS,FULL_BATHS,HALF_BATHS,GARAGE_SPACES,FIREPLACE_CODE,TOTAL_POPULATION_25PLUS,MALE_BACHELORS_DEGREE,FEMALE_BACHELORS_DEGREE,PCT_BACHELORS_DEGREE,TOTAL_POPULATION,NON_HISPANIC_WHITE_POPULATION,PCT_WHITE,MEDIAN_EARNINGS_TOTAL,MEDIAN_EARNINGS_MALE,MEDIAN_EARNINGS_FEMALE,MEDIAN_HOUSEHOLD_INCOME,MEDIAN_HOME_VALUE,MEDIAN_GROSS_RENT,OWNER_OCCUPIED_UNITS,RENTER_OCCUPIED_UNITS,PCT_OWNER_OCCUPIED,OCCUPIED_UNITS,VACANT_UNITS,MEDIAN_AGE,CIVILIAN_EMPLOYED,CIVILIAN_UNEMPLOYED,UNEMPLOYMENT_RATE,POPULATION_BELOW_POVERTY,POVERTY_RATE,COUNTY_NAME,COUNTY_FIPS,VOTES_GOP,VOTES_DEM,TOTAL_VOTES,PER_GOP,PER_DEM,PER_POINT_DIFF,DEM_MARGIN,REP_MARGIN,CC_LIST_ID
92257289,162000,2012-11-05,1987,1987,43.165518,-76.225521,ny,liverpool,13090,011231,2052,21692,4,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,Onondaga County,36067,90619,138894,234735,0.3860480967899972,0.5917055402901144,-0.2056574435001171,0.09170554029011435000,-0.11395190321000281000,
94901780,701500,2010-06-28,1922,1922,40.898535,-73.808425,ny,pelham,10803,005500,1842,5206,3,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Westchester County,36119,144713,312371,462122,0.3131489087297294,0.6759492082177434,-0.3628002994880140,0.17594920821774340000,-0.18685109127027060000,
91427291,0,2012-07-19,1898,1898,40.765992,-73.652174,ny,albertson,11507,302400,1834,5000,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,Nassau County,36059,326716,396504,732756,0.4458728417099280,0.5411132764521888,-0.0952404347422607,0.04111327645218876000,-0.05412715829007197500,
94902400,745000,2004-11-24,1968,1968,40.900348,-73.800402,ny,pelham,10803,005500,2771,12935,5,3,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,Westchester County,36119,144713,312371,462122,0.3131489087297294,0.6759492082177434,-0.3628002994880140,0.17594920821774340000,-0.18685109127027060000,
89942416,125900,2005-11-19,1984,1984,41.703566,-73.883189,ny,poughkeepsie,12603,140202,800,3049,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Dutchess County,36027,66872,81443,151122,0.4425034078426701,0.5389221953123966,-0.0964187874697264,0.03892219531239660000,-0.05749659215732988400,
89849720,85000,2008-11-24,1985,1985,42.314989,-74.650581,ny,hobart,13788,971000,1224,304920,3,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Delaware County,36025,13387,9143,23025,0.5814115092290988,0.3970901194353963,0.1843213897937025,-0.10290988056460370000,0.08141150922909879000,
90649982,120000,2023-07-28,2002,2002,44.02772,-76.231,ny,three mile bay,13693,060302,812,10850,2,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,Jefferson County,36045,25629,17307,43848,0.5844964422550629,0.3947044334975369,0.1897920087575260,-0.10529556650246308000,0.08449644225506292000,
93483510,1950000,2024-06-05,1830,1830,43.081899,-73.780657,ny,saratoga springs,12866,061001,3837,12197,5,2,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,Saratoga County,36091,61305,68471,132655,0.4621386302815574,0.5161584561456409,-0.0540198258640834,0.01615845614564093000,-0.03786136971844262000,
89908768,215000,2025-09-19,1958,1958,41.850085,-73.864275,ny,staatsburg,12580,030000,1248,29185,3,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,Dutchess County,36027,66872,81443,151122,0.4425034078426701,0.5389221953123966,-0.0964187874697264,0.03892219531239660000,-0.05749659215732988400,
92541623,350000,2012-07-16,1950,1950,41.260225,-74.356591,ny,warwick,10990,014602,2726,4680,2,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,Orange County,36071,84996,84684,172099,0.4938785234080384,0.4920656133969401,0.0018129100110982,-0.00793438660305989500,-0.00612147659196160500,
