PROPERTY_ID,SALE_PRICE,SALE_DATE,LATITUDE,LONGITUDE,STATE,CITY,ZIP,CENSUS_TRACT,YEAR_BUILT,EFFECTIVE_YEAR_BUILT,YEAR_BUILT_FINAL,LIVING_SQFT,LOT_SQFT,LOT_ACRES,BEDROOMS,FULL_BATHS,HALF_BATHS,TOTAL_ROOMS,GARAGE_SPACES,FIREPLACE_CODE,HAS_FIREPLACE,BUILDING_QUALITY,BUILDING_CONDITION,ARCHITECTURAL_STYLE,POOL_CODE,HAS_POOL,STORIES,AC_CODE,HAS_AC,BASEMENT_CODE,BASEMENT_FINISHED_SQFT,HAS_BASEMENT,WATER_CODE,HAS_WATER_FEATURE,ASSESSED_TOTAL_VALUE,ASSESSED_LAND_VALUE,ASSESSED_IMPROVEMENT_VALUE,MARKET_VALUE_LAND,MARKET_VALUE_IMPROVEMENTS,TOPOGRAPHY_CODE,SITE_INFLUENCE_CODE,EXTERIOR_WALLS_CODE,ROOF_COVER_CODE,IS_OWNER_OCCUPIED,PREVIOUS_SALE_PRICE,PREVIOUS_SALE_DATE,SUBDIVISION,ZONING,TOTAL_POPULATION_25PLUS,MALE_BACHELORS_DEGREE,FEMALE_BACHELORS_DEGREE,PCT_BACHELORS_DEGREE,TOTAL_POPULATION,NON_HISPANIC_WHITE_POPULATION,PCT_WHITE,MEDIAN_EARNINGS_TOTAL,MEDIAN_EARNINGS_MALE,MEDIAN_EARNINGS_FEMALE,MEDIAN_HOUSEHOLD_INCOME,MEDIAN_HOME_VALUE,MEDIAN_GROSS_RENT,OWNER_OCCUPIED_UNITS,RENTER_OCCUPIED_UNITS,PCT_OWNER_OCCUPIED,OCCUPIED_UNITS,VACANT_UNITS,VACANCY_RATE,MEDIAN_AGE,CIVILIAN_EMPLOYED,CIVILIAN_UNEMPLOYED,UNEMPLOYMENT_RATE,WEALTH_CONCENTRATION_INDEX,EDUCATION_INCOME_INDEX,COUNTY_NAME,COUNTY_FIPS,VOTES_GOP,VOTES_DEM,TOTAL_VOTES,PER_GOP,PER_DEM,PER_POINT_DIFF,DEM_MARGIN,REP_MARGIN,POLITICAL_LEAN_STRENGTH,STATE_FIPS
89350368,879250,2024-03-20,42.11308,-75.936657,ny,binghamton,13905,000200,1940,1940,1940,1348,3200,0.073000,4,2,0,10,2,,0,7,2,1,,0,200,,0,2,,1,2,1,44000,5900,38100,10172,65690,,,19,,,44000,2009-11-13,trebby orchard place,,2232,55,74,5.779570,3206,2377,74.142233,24600.666667,29510.666667,17781.666667,31903.333333,69200.000000,716.666667,660,769,46.186144,1429,245,14.635603,37.000000,1509,165,9.856631,102.282086665598,1.843875482314,Broome County,36007,43800,47010,92794,0.4720132767204776,0.5066060305623208,-0.0345927538418431,0.00660603056232078600,-0.02798672327952239600,0.0345927538418432,36
93817184,526000,2025-02-14,40.958619,-72.98218,ny,sound beach,11789,158317,1929,1929,1929,1728,6098,0.140000,4,2,0,8,0,1,1,,,11,,0,100,,0,3,,1,,0,1310,120,1190,226,2245,,164,2,,,230000,2023-10-25,sound beach 4,,4588,640,620,27.462947,6193,5455,88.083320,48044.000000,64701.333333,39157.666667,112247.666667,331466.666667,1319.500000,1870,221,89.430894,2091,101,4.607664,44.333333,3520,101,2.789285,695.149799668731,30.826517205495,Suffolk County,36103,381253,381021,771541,0.4941448348175923,0.4938441379006430,0.0003006969169492,-0.00615586209935697900,-0.00585516518240769600,0.0003006969169493,36
89656411,400000,2024-08-23,42.090124,-76.822398,ny,elmira,14901,000500,1930,1930,1930,1544,2860,0.065000,4,1,0,0,0,1,1,7,6,1,,0,200,,0,2,,1,2,1,39000,4900,34100,8028,55872,,,19,,,23900,2018-05-24,,ra,1844,112,104,11.713666,2828,2208,78.076379,37898.000000,49543.333333,22961.000000,59120.666667,94233.333333,831.333333,580,645,47.346939,1225,343,21.875000,39.000000,1464,83,5.365223,167.193245334276,6.925197430346,Chemung County,36015,21922,16636,39410,0.5562547576757169,0.4221263638670388,0.1341283938086780,-0.07787363613296122000,0.05625475767571686000,0.1341283938086781,36
89085494,220000,2024-09-18,42.660762,-73.785884,ny,albany,12208,001600,1913,1913,1913,1433,2418,0.056000,4,1,1,0,0,,0,7,6,1,,0,200,,0,2,,1,2,1,213000,42600,170400,42600,170400,,,5,,,164500,2021-04-21,,r2a,2137,370,224,27.795976,4151,3057,73.644905,34144.250000,52505.666667,29269.750000,68015.000000,178125.000000,1024.500000,594,1302,31.329114,1896,216,10.227273,32.500000,2678,171,6.002106,282.330265000000,18.905433076400,Albany County,36001,51081,99474,154101,0.3314774076741877,0.6455117098526291,-0.3140343021784413,0.14551170985262907000,-0.16852259232581230000,0.3140343021784414,36
89663626,82000,2025-01-03,42.151155,-76.820754,ny,horseheads,14845,010500,1951,1951,1951,957,7841,0.180000,2,1,0,0,1,,0,7,6,11,,0,100,,0,9,,1,2,1,86500,13700,72800,15062,80038,,,19,,true,61300,2011-08-25,,vh02,1992,128,213,17.118474,2829,2291,80.982679,30466.666667,34962.000000,29691.000000,40859.000000,91966.666667,900.666667,572,828,40.857143,1400,126,8.256881,35.666667,1506,43,2.775985,115.590111000000,6.994437291660,Chemung County,36015,21922,16636,39410,0.5562547576757169,0.4221263638670388,0.1341283938086780,-0.07787363613296122000,0.05625475767571686000,0.1341283938086781,36
